id;imdb_id;imdb_rating;imdb_votes;title;year;rated;released;runtime;genre;director;writer;actors;plot;language;country;awards;poster;metascore;type;dvd;box_office;production;website;response
1;Account Infrastructure;97607;84581;Piauí e-services Bola;Manager;Sabonete Designer;Bebê Factors Account;programming;Loti;program;Peixe;Loan;solid Chipre;cenoura Turismo;Ilha de Man;circuit;Tanzanian Mesa;pixel Teclado help-desk;system sticky;convergence;Salgadinhos Industrial Bermuda;Bacon;didactic Madeira Assimilated;false
2;Taka bypassing;23314;46304;revolutionary invoice Prático;Direct;compelling;Bedfordshire;toolset;embrace;Lindo;PCI redundant;Accounts copy Legacy;Plástico networks Pizza;AGP Administrator Licenciado;Gâmbia;exploit;Berkshire;Incrível bandwidth Sapatos;Azerbaijanian Multi-tiered RSS;Líbia enhance PCI;facilitate;exploit;overriding;false
3;Developer Frango;50330;46721;Jersey Trinidad Paradigm;Universal Dollar Granito;paradigms global;revolutionary Bacon marca;parse;Expanded ubiquitous Officer;auxiliary Aço;methodical B2C;Internal;Calças;Human;Costa do Marfim;Incrível copy Synchronised;vortals innovate bypass;input Borracha;Principal âmbar Renminbi;Lira dedicated Sabonete;Cloned real-time Human;Saúde;Investment overriding Ergonômico;true
4;Mercearia Lustroso Berkshire;21538;49045;Teclado application;marca Queijo Alameda;auxiliary;Filmes;Inteligente;Lindo Facilitator;Account wireless mindshare;action-items backing;Multi-tiered deposit;Total technologies Aço;Function-based;Timor-Leste;Travessa;mobile laranja;Industrial;application Lindo facilitate;Liaison;array;Gerais wireless firmware;Rua supply-chains Aço;true
5;transmit;16388;45227;Upgradable;Berkshire niches;solid invoice;Mobility;programming;Rua;Jogos Multi-tiered;incubate Zimbábue invoice;Brinquedos;Upgradable;Pará Travessa Marginal;Polônia;Cambridgeshire port;radical Prático Central;e-markets verde web-enabled;Direct;Accountability Prático Calças;Impressionante Kwanza;synthesizing methodology;responsive generate;true
6;Configurable;49824;93427;withdrawal;Camiseta;Filmes Account Investment;calculating;architectures Metal;reinvent scalable radical;Business-focused;limão Enterprise-wide;circuit;Congelado hack Supervisor;technologies;Grécia;Networked Salada Teclado;regional;Automotivo;withdrawal Calças;uniform Rua bifurcated;Incrível;feed Maldives;Lead Pizza models;false
7;transition program;42771;97747;web deploy;Division;neural;programming compressing;Salgadinhos hack Buckinghamshire;payment back Jóias;Persistent as;Administrator;Operations;Turismo Marfim;Frango;Belize;Roupas technologies architect;disintermediate Implementation;program coral recontextualize;Savings primary synthesize;Account;Rodovia quantify Queijo;capacitor Savings;violeta quantify Central;true
8;Pernambuco Global Refinado;8738;90615;world-class;moratorium protocol;Gostoso;Borders index Chapéu;Rodovia Dynamic;responsive Borracha Administrator;modular clicks-and-mortar SQL;and;primary International;Quality Alagoas Multi-channelled;invoice Grande;Serra Leoa;Manager;pixel Amazonas web;Account Lustroso copy;Assurance;incubate Jogos;3rd fresh-thinking;feed Engineer Savings;turquesa withdrawal;false
9;deposit;63137;454;Industrial Rústico;Rupiah Paraná Borders;bluetooth Licenciado IB;Graphic grow Computador;Branding invoice Esportes;capacitor Accounts;Borracha area;Camiseta Peixe ferrugem;Maurícia Account;empower Avon;Bahia;Georgia;generate Mongólia;Esportes;metrics Forward Lead;Brand Congelado;generating cultivate customized;alarm Account Functionality;info-mediaries Investor;copying e-business Pizza;false
10;Account AI generating;25739;84970;transform;petróleo Senegal;deposit up Lindo;Marginal Lindo;up intuitive withdrawal;regional;Research;Toalhas transparent system;hard;even-keeled Peixe;Brand;Papua-Nova Guiné;synthesize ametista Cambridgeshire;functionalities Travessa;up;architecture Alagoas contingency;intranet Frango;International;Industrial;Rico withdrawal Wallis;false
